title,ingredients,directions,link,source,NER,site
Marinated Flank Steak Recipe,"[""1 1/2 pound flank steak"", ""1/2 c. finely minced green onions (scallions)"", ""1/2 c. dry red wine"", ""1/4 c. soy sauce"", ""3 tbsp. salad oil"", ""3 teaspoon sesame seeds"", ""2 teaspoon packed brown sugar"", ""1/4 teaspoon grnd black pepper"", ""1/4 teaspoon grnd ginger"", ""1 clove garlic, chopped""]","[""Remove tenderloin from steak."", ""Score meat."", ""Combine remaining ingredients and pour over meat."", ""Let marinate 24 hrs."", ""Preheat grill."", ""Broil or possibly grill."", ""Slice thinly on an angle against the grain.""]",cookeatshare.com/recipes/marinated-flank-steak-20757,Recipes1M,"[""soy sauce"", ""green onions"", ""salad oil"", ""sesame seeds"", ""brown sugar"", ""flank steak"", ""clove garlic"", ""grnd ginger"", ""grnd black pepper"", ""red wine""]",cookeatshare.com
French Chicken Stew,"[""1 tablespoon rosemary"", ""1 teaspoon thyme"", ""3 bay leaves"", ""1 teaspoon smoked paprika"", ""1 teaspoon pepper"", ""1/4 cup red wine"", ""3 cups chicken broth"", ""2 cups button mushrooms sliced"", ""2 cups mushroom mix, oyster, shiitake, baby bella, sliced"", ""2 medium carrots sliced diagonally"", ""1 onion medium, chopped"", ""1 red potato medium, cut in 1-inch pieces"", ""1 cup frozen green beans 1-inch pieces"", ""1/2 can black olives pitted ripe, halved"", ""1 handful grape tomatoes halved"", ""8 chicken thighs with bones and skin. 2-3 lbs"", ""2 stalks celery"", ""3 cups water""]","[""combine all ingredients in slow cooker (6 quarts). bury chicken in vegetables. don't put herbs directly on chicken (because skin is removed later)"", ""add enough broth and water to cover most of ingredients. liquid level rises a good amount during cooking, so careful with filling the slow cooker too much."", ""turn slow cooker on low for 6-7 hours or high 3-4 hours. Note: in my newer Crock-Pot this was enough time, but in my parents' older Crock-Pot 7 hours on low was not enough (don't know how long would be good. we left the veggies a little tough)."", ""pull out all chicken."", ""skim off fat from top with spoon"", ""pull off skin and remove bones from chicken. shred and return to soup.""]",www.yummly.com/recipe/French-Chicken-Stew-1433580,Gathered,"[""mushroom mix"", ""pepper"", ""button mushrooms"", ""stalks celery"", ""onion"", ""water"", ""rosemary"", ""frozen green beans"", ""thyme"", ""bay leaves"", ""chicken broth"", ""carrots"", ""black olives"", ""red wine"", ""paprika"", ""handful grape tomatoes"", ""chicken""]",www.yummly.com
Glazed Carrots,"[""3 to 4 carrots"", ""1 1/2 Tbsp. butter"", ""1/3 c. brown sugar"", ""grated lemon rind and juice""]","[""Cook 3 to 4 carrots; cut crosswise in 1-inch pieces."", ""Add butter, brown sugar (packed) and grated lemon rind and juice to taste."", ""Heat slow, stirring occasionally, until nicely glazed, about 15 minutes."", ""Makes 2 to 3 servings.""]",www.cookbooks.com/Recipe-Details.aspx?id=1011892,Gathered,"[""butter"", ""brown sugar"", ""carrots"", ""lemon rind""]",www.cookbooks.com
Moms Pie Dough ,"[""4.5 Cups Flour"", ""1.5 Tsp Salt"", ""Pinch Baking Powder"", ""1 Tbls Sugar"", ""1 2/3 cup Crisco"", ""1 egg lightly beaten"", ""1 tsp vinegar"", ""Ice Water""]","[""Mix all dry ingredients in a bowl."", """", ""Add crisco and cut in with dough cutter."", """", ""Mix wet ingredients adding ice water to make 1 total cup of wet ingredients."", """", ""Add wet to dry, starting with 1/2 cup of wet ingredients."", """", ""Make dough and chill""]",www.epicurious.com/recipes/member/views/moms-pie-dough-50099408,Gathered,"[""egg"", ""baking powder"", ""sugar"", ""crisco"", ""vinegar"", ""water"", ""flour"", ""salt""]",www.epicurious.com
Pretzel Salad Or Dessert,"[""2 c. crushed small thin pretzels (sticks)"", ""3/4 c. margarine""]","[""Mix and press in baking pan, approximately 13 x 9-inch. Bake 8 minutes at 400\u00b0. Cool.""]",www.cookbooks.com/Recipe-Details.aspx?id=106723,Gathered,"[""thin pretzels"", ""margarine""]",www.cookbooks.com
Citrus Syrup,"[""3/4 cup sugar"", ""1/2 cup fresh orange juice"", ""1/2 cup fresh lemon juice""]","[""In a 1 1/2-quart saucepan stir together sugar and juices and simmer, stirring occasionally, 5 minutes, or until sugar is dissolved and syrup is slightly thickened."", ""Cool syrup."", ""Syrup may be made 3 days ahead and chilled, covered."", ""Makes about 1 1/4 cups.""]",www.epicurious.com/recipes/food/views/citrus-syrup-100938,Recipes1M,"[""sugar"", ""orange juice"", ""lemon juice""]",www.epicurious.com
Cranberry And Candied Orange Chutney ,"[""1 large navel orange with skin"", ""7 cups water, divided"", ""1/2 cup sugar"", ""2 cinnamon sticks, divided"", ""1/4 cup (packed) golden brown sugar"", ""1 tablespoon dark rum"", ""2 teaspoons apple cider vinegar"", ""1/8 teaspoon ground allspice"", ""1/2 cup fresh or frozen cranberries""]","[""Cut orange into 1/4-inch-thick rounds; cut rounds into 1/4-inch cubes. Place in heavy medium saucepan; add 3 cups water. Bring to boil. Reduce heat and simmer 10 minutes. Drain, rinse, and drain well. Boil again with 3 cups water; rinse and drain."", ""Return orange cubes to same pan. Add 3/4 cup water, 1/2 cup sugar, and 1 cinnamon stick. Bring to boil, stirring until sugar dissolves. Boil gently until all liquid evaporates, about 30 minutes."", ""Bring brown sugar, rum, vinegar, allspice, 1/4 cup water, and 1 cinnamon stick to boil in saucepan. Mix in cranberries. Cook until thick syrup forms, stirring occasionally, about 10 minutes. Mix in orange; cook 1 minute. Transfer chutney to small bowl; cool. (Can be made 2 days ahead. Cover; chill.)""]",www.epicurious.com/recipes/food/views/cranberry-and-candied-orange-chutney-233172,Gathered,"[""dark rum"", ""golden brown sugar"", ""sugar"", ""cranberries"", ""water"", ""apple cider vinegar"", ""orange with skin"", ""ground allspice"", ""cinnamon sticks""]",www.epicurious.com
Tau Kua He Ci Medan'S Favourite Food ,"[""1 slices Gravy ingredients (A) - onion"", ""3 cloves Gravy ingredients (A) - cloves garlic"", ""300 grams Gravy ingredients (A) - very ripe tomatoes (chopped)"", ""300 grams Gravy ingredients (A) - pineappled (chopped)"", ""6 tablespoons Gravy ingredients (A) - tomato sauce ( i use Del Monte)"", ""3 tablespoons Gravy ingredients (A) - sugar ( to taste)"", ""1 tablespoon Gravy ingredients (A) - salt & pepper"", ""3 liters Gravy ingredients (A) - water"", ""200 grams Gravy ingredients (B) - pineappled (chopped)"", ""3 tablespoons Gravy ingredients (B) - corn starch to dissolve in water""]","[""The condiments:"", ""- Large prawns, fried in batter"", ""- Small blue swimming crab, fried in batter"", ""- small - medium size prawn, made into crackers"", ""- 1 bunch of morning glory, boil until ready"", ""- 200 gr bean sprout, blanched"", ""- make birds eye chilli sauce"", ""The Gravy :"", ""- Bring water to a boil, put all ingredients for gravy and continue to cooke for 10 minutes, simmer for another 1 hour or until the tomato is softened or the water has reduced to 2 - 2.5 L"", ""- Put the tomato stock back in the pot, add in the dissolved corn starch, mix well and bring back to a boil, the gravy now should thickened. If you prefer the gravy slightly runny use 2 tbsp of corn starch but if you wish thicker use 3 tbsp."", ""- The gravy is now ready to use""]",www.epicurious.com/recipes/member/views/tau-kua-he-ci-medans-favourite-food-5b1e3c5cae9b4a38dd3df825,Gathered,"[""garlic"", ""gravy ingredients"", ""liters gravy ingredients""]",www.epicurious.com
Jamaica Barbecue Sauce,"[""1 1/2 c. cider vinegar"", ""4 tsp. lemon juice"", ""3 tsp. Worcestershire sauce"", ""2 tsp. brown sugar"", ""1 Tbsp. prepared mustard"", ""3/4 tsp. salt"", ""1/2 tsp. meat tenderizer"", ""1 c. tomato catsup"", ""1 Tbsp. liquid smoke"", ""1 tsp. garlic powder"", ""1 tsp. cayenne pepper"", ""1/2 tomato puree""]","[""Mix ingredients well."", ""Pour into jar."", ""Keep in refrigerator until ready to use."", ""Makes 1 3/4 pints.""]",www.cookbooks.com/Recipe-Details.aspx?id=470060,Gathered,"[""lemon juice"", ""cayenne pepper"", ""liquid smoke"", ""brown sugar"", ""tenderizer"", ""garlic powder"", ""tomato puree"", ""cider vinegar"", ""mustard"", ""tomato catsup"", ""worcestershire sauce"", ""salt""]",www.cookbooks.com
Dill Dip,"[""2/3 c. sour cream"", ""2/3 c. Hellmann's mayo"", ""1 Tbsp. parsley flakes"", ""1 Tbsp. dried onion flakes"", ""1 Tbsp. Worcestershire sauce"", ""1 tsp. Accent"", ""1 tsp. season salt"", ""1 tsp. dill weed""]","[""Mix all ingredients together and chill overnight. Great with fresh vegetables.""]",www.cookbooks.com/Recipe-Details.aspx?id=109385,Gathered,"[""sour cream"", ""accent"", ""onion"", ""parsley flakes"", ""mayo"", ""season salt"", ""worcestershire sauce"", ""dill weed""]",www.cookbooks.com
